"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"29.04.2026 14:47:13";"29.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"29.04.2026 14:39:27";"29.04.2026";"*5315";"OK";"-285,00";"RUB";"-285,00";"RUB";"";"Различные товары";"5993";"Magic Asia, Magazin";"2,00";"0,00";"-285,00"
"29.04.2026 14:11:17";"29.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"29.04.2026 13:57:59";"29.04.2026";"*5315";"OK";"-1900,00";"RUB";"-1900,00";"RUB";"";"Переводы";"";"Фарида З.";"0,00";"0,00";"-1900,00"
"29.04.2026 12:04:59";"30.04.2026";"*5315";"OK";"-360,00";"RUB";"-360,00";"RUB";"";"Супермаркеты";"5499";"IP Arakelyan A A";"3,00";"0,00";"-360,00"
"29.04.2026 10:36:49";"29.04.2026";"*5315";"OK";"-1500,00";"RUB";"-1500,00";"RUB";"";"Переводы";"";"Елена Ю.";"0,00";"0,00";"-1500,00"
"29.04.2026 10:33:52";"29.04.2026";"*5315";"OK";"-5000,00";"RUB";"-5000,00";"RUB";"";"Переводы";"";"Елена Ю.";"0,00";"0,00";"-5000,00"
"29.04.2026 10:26:11";"29.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"28.04.2026 11:42:17";"28.04.2026";"*5315";"OK";"-568,00";"RUB";"-568,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"5,00";"0,00";"-568,00"
"28.04.2026 10:14:14";"28.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"27.04.2026 15:44:14";"27.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"27.04.2026 11:35:34";"27.04.2026";"*5315";"OK";"-569,00";"RUB";"-569,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"5,00";"0,00";"-569,00"
"27.04.2026 11:14:43";"27.04.2026";"*5315";"OK";"-25,00";"RUB";"-25,00";"RUB";"";"Переводы";"";"Артем Т.";"0,00";"0,00";"-25,00"
"27.04.2026 09:58:21";"27.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"24.04.2026 22:49:00";"25.04.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"24.04.2026 22:47:54";"25.04.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"24.04.2026 20:05:22";"24.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"24.04.2026 19:57:39";"24.04.2026";"*5315";"OK";"-550,00";"RUB";"-550,00";"RUB";"";"Кино";"7832";"Кинотеатр Синема 5";"5,00";"0,00";"-550,00"
"24.04.2026 10:18:19";"24.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"24.04.2026 08:50:22";"24.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"24.04.2026 08:42:44";"25.04.2026";"*5315";"OK";"-180,00";"RUB";"-180,00";"RUB";"";"Супермаркеты";"5499";"IP Arakelyan A A";"1,00";"0,00";"-180,00"
"23.04.2026 22:25:03";"24.04.2026";"*5315";"OK";"-966,00";"RUB";"-966,00";"RUB";"";"Кино";"7832";"Кинотеатр Синема 5";"0,00";"0,00";"-966,00"
"23.04.2026 18:58:46";"23.04.2026";"*5315";"OK";"-280,00";"RUB";"-280,00";"RUB";"";"Переводы";"";"Георгий З.";"0,00";"0,00";"-280,00"
"23.04.2026 17:52:20";"23.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"23.04.2026 14:44:28";"24.04.2026";"*5315";"OK";"-399,00";"RUB";"-399,00";"RUB";"";"Сервис";"5968";"Газпром Бонус";"3,00";"0,00";"-399,00"
"23.04.2026 14:39:26";"23.04.2026";"*5315";"OK";"-169,98";"RUB";"-169,98";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"1,00";"0,00";"-169,98"
"23.04.2026 14:06:10";"23.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"23.04.2026 11:40:27";"23.04.2026";"*5315";"OK";"-349,97";"RUB";"-349,97";"RUB";"";"Супермаркеты";"5411";"Магнит";"3,00";"0,00";"-349,97"
"23.04.2026 10:14:13";"23.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"22.04.2026 21:19:07";"22.04.2026";"*5315";"OK";"-3312,00";"RUB";"-3312,00";"RUB";"";"Цифровые товары";"5816";"Playerok";"66,00";"0,00";"-3312,00"
"22.04.2026 14:23:19";"22.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"22.04.2026 11:52:06";"22.04.2026";"*5315";"OK";"-578,00";"RUB";"-578,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"5,00";"0,00";"-578,00"
"22.04.2026 10:13:13";"22.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"21.04.2026 18:00:05";"21.04.2026";"*5315";"OK";"-396,06";"RUB";"-396,06";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"3,00";"0,00";"-396,06"
"21.04.2026 17:32:15";"21.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"21.04.2026 13:47:44";"22.04.2026";"*5315";"OK";"-300,00";"RUB";"-300,00";"RUB";"";"Фастфуд";"5814";"1804 University & Coffee";"3,00";"0,00";"-300,00"
"21.04.2026 10:33:16";"21.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"20.04.2026 15:33:19";"20.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"20.04.2026 11:59:21";"20.04.2026";"*5315";"OK";"-400,00";"RUB";"-400,00";"RUB";"";"Переводы";"";"Никита П.";"0,00";"0,00";"-400,00"
"20.04.2026 11:57:23";"20.04.2026";"*5315";"OK";"-164,98";"RUB";"-164,98";"RUB";"";"Фастфуд";"5814";"Бургер Кинг";"1,00";"0,00";"-164,98"
"20.04.2026 10:13:16";"20.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"19.04.2026 14:13:55";"19.04.2026";"*5315";"OK";"-534,00";"RUB";"-534,00";"RUB";"";"Аптеки";"5912";"Бережная аптека";"5,00";"0,00";"-534,00"
"19.04.2026 12:17:39";"19.04.2026";"*5315";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Мобильная связь";"";"МТС +7 917 923-99-01";"0,00";"0,00";"-1000,00"
"17.04.2026 17:55:22";"17.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"17.04.2026 17:35:16";"17.04.2026";"*5315";"OK";"-454,97";"RUB";"-454,97";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"4,00";"0,00";"-454,97"
"17.04.2026 13:51:13";"17.04.2026";"*5315";"OK";"-90,00";"RUB";"-90,00";"RUB";"";"Фастфуд";"5814";"Kopit Kfu 2 Bufet";"0,00";"0,00";"-90,00"
"17.04.2026 10:23:08";"18.04.2026";"*5315";"OK";"-290,00";"RUB";"-290,00";"RUB";"";"Супермаркеты";"5499";"IP Arakelyan A A";"2,00";"0,00";"-290,00"
"17.04.2026 10:21:22";"17.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"16.04.2026 16:23:10";"16.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"16.04.2026 14:30:12";"16.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"16.04.2026 14:23:24";"16.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"16.04.2026 12:16:03";"16.04.2026";"*5315";"OK";"-1036,00";"RUB";"-1036,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"10,00";"0,00";"-1036,00"
"15.04.2026 14:56:09";"15.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"15.04.2026 12:01:23";"15.04.2026";"*5315";"OK";"-409,00";"RUB";"-409,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"4,00";"0,00";"-409,00"
"15.04.2026 10:31:13";"15.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"14.04.2026 17:43:12";"14.04.2026";"*5315";"OK";"-250,00";"RUB";"-250,00";"RUB";"";"Переводы";"";"Анастасия А.";"0,00";"0,00";"-250,00"
"14.04.2026 17:15:30";"14.04.2026";"*5315";"OK";"-400,00";"RUB";"-400,00";"RUB";"";"Рестораны";"5812";"Kofeinya Bali Buda";"4,00";"0,00";"-400,00"
"14.04.2026 15:16:17";"14.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"13.04.2026 15:30:02";"13.04.2026";"*5315";"OK";"-238,00";"RUB";"-238,00";"RUB";"";"Аптеки";"5912";"Бережная аптека";"2,00";"0,00";"-238,00"
"13.04.2026 14:50:20";"13.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"13.04.2026 13:01:47";"13.04.2026";"*5315";"OK";"-499,97";"RUB";"-499,97";"RUB";"";"Фастфуд";"5814";"Бургер Кинг";"4,00";"0,00";"-499,97"
"12.04.2026 16:38:06";"12.04.2026";"*5315";"OK";"-2847,00";"RUB";"-2847,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"28,00";"0,00";"-2847,00"
"11.04.2026 23:49:51";"12.04.2026";"*5315";"OK";"-866,00";"RUB";"-866,00";"RUB";"";"Фастфуд";"5814";"Rostic's";"17,00";"0,00";"-866,00"
"11.04.2026 14:19:15";"11.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"11.04.2026 13:59:17";"11.04.2026";"*5315";"OK";"-685,00";"RUB";"-685,00";"RUB";"";"Фастфуд";"5814";"Cinnabon";"6,00";"0,00";"-685,00"
"11.04.2026 10:18:32";"12.04.2026";"*5315";"OK";"-180,00";"RUB";"-180,00";"RUB";"";"Супермаркеты";"5499";"IP Arakelyan A A";"1,00";"0,00";"-180,00"
"11.04.2026 09:59:07";"11.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"10.04.2026 15:56:14";"10.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"10.04.2026 15:46:29";"10.04.2026";"*5315";"OK";"-223,00";"RUB";"-223,00";"RUB";"";"Цифровые товары";"5816";"ONLIPAY";"0,00";"0,00";"-223,00"
"10.04.2026 15:29:42";"10.04.2026";"*5315";"OK";"-3000,00";"RUB";"-3000,00";"RUB";"";"Наличные";"6011";"Снятие в банкомате Т-Банк";"0,00";"0,00";"-3000,00"
"10.04.2026 11:58:35";"10.04.2026";"*5315";"OK";"-343,98";"RUB";"-343,98";"RUB";"";"Супермаркеты";"5411";"Магнит";"3,00";"0,00";"-343,98"
"10.04.2026 08:39:19";"10.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"09.04.2026 14:11:11";"09.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"09.04.2026 11:33:46";"09.04.2026";"*5315";"OK";"-363,97";"RUB";"-363,97";"RUB";"";"Супермаркеты";"5411";"Магнит";"3,00";"0,00";"-363,97"
"09.04.2026 10:03:08";"09.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"08.04.2026 16:20:34";"08.04.2026";"*5315";"OK";"-2500,00";"RUB";"-2500,00";"RUB";"";"Медицина";"8011";"Statsionar Gkb 7";"25,00";"0,00";"-2500,00"
"08.04.2026 16:04:18";"08.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"08.04.2026 13:35:57";"10.04.2026";"*5315";"OK";"-40,00";"RUB";"-40,00";"RUB";"";"Заправки";"5541";"Татнефть";"0,00";"0,00";"-40,00"
"08.04.2026 12:46:03";"08.04.2026";"*5315";"OK";"-139,99";"RUB";"-139,99";"RUB";"";"Супермаркеты";"5411";"Магнит";"1,00";"0,00";"-139,99"
"08.04.2026 12:16:37";"08.04.2026";"*5315";"OK";"-389,98";"RUB";"-389,98";"RUB";"";"Супермаркеты";"5411";"Магнит";"3,00";"0,00";"-389,98"
"07.04.2026 18:11:15";"07.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"07.04.2026 11:36:31";"07.04.2026";"*5315";"OK";"-286,00";"RUB";"-286,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"2,00";"0,00";"-286,00"
"07.04.2026 10:16:25";"07.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"06.04.2026 16:02:15";"06.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"06.04.2026 15:43:12";"06.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"06.04.2026 13:17:49";"06.04.2026";"*5315";"OK";"-90,00";"RUB";"-90,00";"RUB";"";"Переводы";"";"Амир Г.";"0,00";"0,00";"-90,00"
"06.04.2026 12:29:45";"06.04.2026";"*5315";"OK";"-577,00";"RUB";"-577,00";"RUB";"";"Фастфуд";"5814";"Вкусно — и точка";"5,00";"0,00";"-577,00"
"06.04.2026 11:46:35";"06.04.2026";"*5315";"OK";"-70,00";"RUB";"-70,00";"RUB";"";"Переводы";"";"Амир Г.";"0,00";"0,00";"-70,00"
"06.04.2026 10:12:14";"06.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"04.04.2026 14:44:02";"04.04.2026";"*5315";"OK";"-109,99";"RUB";"-109,99";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"1,00";"0,00";"-109,99"
"04.04.2026 14:12:20";"04.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"04.04.2026 12:01:43";"05.04.2026";"*5315";"OK";"-320,00";"RUB";"-320,00";"RUB";"";"Фастфуд";"5814";"1804 University & Coffee";"3,00";"0,00";"-320,00"
"04.04.2026 09:50:30";"05.04.2026";"*5315";"OK";"-180,00";"RUB";"-180,00";"RUB";"";"Супермаркеты";"5499";"IP Arakelyan A A";"1,00";"0,00";"-180,00"
"04.04.2026 09:31:10";"04.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"03.04.2026 20:22:58";"03.04.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"03.04.2026 20:22:29";"03.04.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"03.04.2026 19:10:46";"03.04.2026";"*5315";"OK";"-425,00";"RUB";"-425,00";"RUB";"";"Сервис";"7311";"kur*Kur*Likeraptor";"0,00";"0,00";"-425,00"
"03.04.2026 15:53:21";"03.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"03.04.2026 15:43:24";"03.04.2026";"*5315";"OK";"-499,98";"RUB";"-499,98";"RUB";"";"Супермаркеты";"5411";"Магнит";"4,00";"0,00";"-499,98"
"03.04.2026 15:42:40";"03.04.2026";"*5315";"OK";"-189,99";"RUB";"-189,99";"RUB";"";"Супермаркеты";"5411";"Магнит";"1,00";"0,00";"-189,99"
"03.04.2026 11:05:52";"03.04.2026";"*5315";"OK";"-399,00";"RUB";"-399,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"0,00";"0,00";"-399,00"
"03.04.2026 10:04:55";"03.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"02.04.2026 18:18:21";"02.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"02.04.2026 17:03:11";"02.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"02.04.2026 11:30:16";"02.04.2026";"*5315";"OK";"-568,00";"RUB";"-568,00";"RUB";"";"Фастфуд";"5814";"Додо Пицца";"5,00";"0,00";"-568,00"
"02.04.2026 09:56:15";"02.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"01.04.2026 16:39:23";"01.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"01.04.2026 13:58:20";"01.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"01.04.2026 13:45:46";"01.04.2026";"*5315";"OK";"-329,98";"RUB";"-329,98";"RUB";"";"Супермаркеты";"5411";"Магнит";"3,00";"0,00";"-329,98"
"01.04.2026 13:30:41";"01.04.2026";"*5315";"OK";"-486,00";"RUB";"-486,00";"RUB";"";"Аптеки";"5912";"Планета Здоровья";"4,00";"0,00";"-486,00"
"01.04.2026 10:16:22";"01.04.2026";"*5315";"OK";"-46,00";"RUB";"-46,00";"RUB";"";"Местный транспорт";"4131";"Транспортная карта";"0,00";"0,00";"-46,00"
"31.03.2026 19:49:46";"31.03.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"31.03.2026 19:48:44";"31.03.2026";"*5315";"OK";"-20,00";"RUB";"-20,00";"RUB";"";"Супермаркеты";"5499";"Водомат";"0,00";"0,00";"-20,00"
"31.03.2026 19:26:08";"31.03.2026";"*5315";"OK";"-186,00";"RUB";"-186,00";"RUB";"";"Подарки и творчество";"5947";"OOO Aspekt";"1,00";"0,00";"-186,00"
