date,category,amount,description,is_weekend
2026-01-03,Продукты,662.96,Магнит,1
2026-01-06,Продукты,371.97,Пятёрочка,0
2026-01-06,Продукты,972.94,Магнит,0
2026-01-06,Продукты,250.0,Vobla Beer,0
2026-01-07,Кафе/Рестораны,1637.0,Додо Пицца,0
2026-01-07,Транспорт,46.0,Транспортная карта,0
2026-01-08,Такси,239.0,Яндекс Такси,0
2026-01-08,Кафе/Рестораны,3116.0,Додо Пицца,0
2026-01-08,Такси,701.0,Яндекс Такси,0
2026-01-08,Транспорт,46.0,Транспортная карта,0
2026-01-11,Цифровые товары,300.0,VPN,1
2026-01-13,Кафе/Рестораны,230.0,1804 University & Coffee,0
2026-01-13,Кафе/Рестораны,80.0,1804 University & Coffee,0
2026-01-13,Транспорт,46.0,Транспортная карта,0
2026-01-13,Кафе/Рестораны,379.0,Додо Пицца,0
2026-01-15,Транспорт,46.0,Транспортная карта,0
2026-01-15,Продукты,654.95,Пятёрочка,0
2026-01-16,Цифровые товары,300.0,ONLIPAY,0
2026-01-16,Транспорт,46.0,Транспортная карта,0
2026-01-16,Цифровые товары,255.0,Oto*Tribute,0
2026-01-16,Кафе/Рестораны,928.0,Додо Пицца,0
2026-01-16,Кафе/Рестораны,824.0,Додо Пицца,0
2026-01-16,Продукты,424.96,Пятёрочка,0
2026-01-18,Кафе/Рестораны,1029.0,Rostic's,1
2026-01-18,Продукты,20.0,Водомат,1
2026-01-18,Продукты,20.0,Водомат,1
2026-01-20,Цифровые товары,599.0,GGsel.net,0
2026-01-22,Кафе/Рестораны,379.0,Додо Пицца,0
2026-01-22,Транспорт,46.0,Транспортная карта,0
2026-01-22,Такси,279.0,Яндекс Такси,0
2026-01-22,Продукты,754.95,Магнит,0
2026-01-22,Кафе/Рестораны,269.0,Додо Пицца,0
2026-01-22,Кафе/Рестораны,230.0,1804 University & Coffee,0
2026-01-23,Такси,321.0,Яндекс Такси,0
2026-01-23,Кафе/Рестораны,852.0,Франклинc Бургер,0
2026-01-23,Сервис,399.0,Газпром Бонус,0
2026-01-24,Мобильная связь,800.0,МТС +7 917 923-99-01,1
2026-01-24,Такси,457.0,Яндекс Такси,1
2026-01-24,Продукты,89.99,Лента,1
2026-01-24,Такси,391.0,Яндекс Такси,1
2026-01-24,Кафе/Рестораны,876.0,Rostic's,1
2026-01-26,Сервис,824.0,Робокасса,0
2026-01-27,Такси,416.0,Яндекс Такси,0
2026-01-28,Кафе/Рестораны,380.0,Вкусно — и точка,0
2026-01-30,Кафе/Рестораны,1370.0,Гриль-бар Alaska,0
2026-01-30,Кафе/Рестораны,540.0,Гриль-бар Alaska,0
2026-01-30,Кафе/Рестораны,200.0,Роза Хутор,0
2026-01-31,Продукты,20.0,Водомат,1
2026-01-31,Продукты,20.0,Водомат,1
2026-01-31,Кафе/Рестораны,1025.0,Столовая,1
2026-02-01,Кафе/Рестораны,1206.0,Додо Пицца,1
2026-02-02,Продукты,20.0,Водомат,0
2026-02-02,Продукты,20.0,Водомат,0
2026-02-02,Продукты,249.99,Магнит,0
2026-02-05,Кафе/Рестораны,1023.0,Яндекс Еда,0
2026-02-06,Такси,388.0,Яндекс Такси,0
2026-02-06,Такси,569.0,Яндекс Такси,0
2026-02-09,Транспорт,46.0,Транспортная карта,0
2026-02-09,Цифровые товары,100.0,ONLIPAY,0
2026-02-09,Продукты,489.96,Магнит,0
2026-02-09,Кафе/Рестораны,427.0,Вкусно — и точка,0
2026-02-09,Транспорт,46.0,Транспортная карта,0
2026-02-09,Транспорт,46.0,Транспортная карта,0
2026-02-09,Транспорт,46.0,Транспортная карта,0
2026-02-09,Транспорт,46.0,Транспортная карта,0
2026-02-10,Такси,304.0,Яндекс Такси,0
2026-02-10,Продукты,99.99,Магнит,0
2026-02-10,Транспорт,46.0,МУП Метроэлектротранс,0
2026-02-10,Транспорт,46.0,Транспортная карта,0
2026-02-10,Продукты,371.96,Магнит,0
2026-02-11,Продукты,20.0,Водомат,0
2026-02-11,Аптеки,299.0,Бережная аптека,0
2026-02-11,Продукты,355.97,Магнит,0
2026-02-11,Транспорт,46.0,Транспортная карта,0
2026-02-11,Транспорт,46.0,Транспортная карта,0
2026-02-12,Транспорт,46.0,Транспортная карта,0
2026-02-12,Транспорт,46.0,Транспортная карта,0
2026-02-12,Кафе/Рестораны,399.0,Додо Пицца,0
2026-02-12,Транспорт,46.0,Транспортная карта,0
2026-02-12,Такси,181.0,Яндекс Такси,0
2026-02-13,Цветы,190.0,Buket Stolicy,0
2026-02-13,Транспорт,46.0,Транспортная карта,0
2026-02-13,Кафе/Рестораны,260.0,1804 University & Coffee,0
2026-02-13,Кафе/Рестораны,399.0,Додо Пицца,0
2026-02-13,Транспорт,46.0,Транспортная карта,0
2026-02-13,Подарки,500.0,Polka Chudes Gum,0
2026-02-14,Развлечения,1100.0,Antikafe Baklazhan,1
2026-02-14,Кафе/Рестораны,920.0,Додо Пицца,1
2026-02-14,Транспорт,46.0,Транспортная карта,1
2026-02-14,Такси,611.0,Яндекс Такси,1
2026-02-16,Транспорт,46.0,Транспортная карта,0
2026-02-16,Кафе/Рестораны,564.0,Вкусно — и точка,0
2026-02-16,Транспорт,46.0,Транспортная карта,0
2026-02-16,Цифровые товары,255.0,Oto*Tribute,0
2026-02-16,Транспорт,46.0,МУП Метроэлектротранс,0
2026-02-17,Продукты,349.97,Пятёрочка,0
2026-02-17,Транспорт,46.0,Транспортная карта,0
2026-02-17,Такси,660.0,Яндекс Такси,0
2026-02-17,Транспорт,46.0,МУП Метроэлектротранс,0
2026-02-17,Кафе/Рестораны,260.0,1804 University & Coffee,0
2026-02-18,Кафе/Рестораны,409.0,Додо Пицца,0
2026-02-18,Транспорт,46.0,Транспортная карта,0
2026-02-18,Транспорт,46.0,МУП Метроэлектротранс,0
2026-02-18,Кафе/Рестораны,409.0,Додо Пицца,0
2026-02-18,Транспорт,46.0,МУП Метроэлектротранс,0
2026-02-18,Такси,504.0,Яндекс Такси,0
2026-02-19,Такси,184.0,Яндекс Такси,0
2026-02-19,Транспорт,46.0,Транспортная карта,0
2026-02-19,Продукты,180.0,Pe Arakelyan Armik Ara,0
2026-02-19,Транспорт,46.0,Транспортная карта,0
2026-02-19,Продукты,319.97,Пятёрочка,0
2026-02-19,Мобильная связь,1000.0,МТС +7 917 923-99-01,0
2026-02-20,Кафе/Рестораны,857.0,Додо Пицца,0
2026-02-20,Транспорт,46.0,Транспортная карта,0
2026-02-22,Цифровые товары,350.2,Playerok,1
2026-02-23,Сервис,399.0,Газпром Бонус,0
2026-02-24,Цифровые товары,206.0,Playerok,0
2026-02-24,Продукты,289.98,Магнит,0
2026-02-24,Транспорт,46.0,Транспортная карта,0
2026-02-24,Цифровые товары,504.7,Playerok,0
2026-02-24,Кафе/Рестораны,409.0,Додо Пицца,0
2026-02-24,Цифровые товары,113.3,Playerok,0
2026-02-24,Транспорт,46.0,Транспортная карта,0
2026-02-25,Такси,363.0,Яндекс Такси,0
2026-02-25,Продукты,41.99,Магнит,0
2026-02-25,Кафе/Рестораны,1.0,Додо Пицца,0
2026-02-25,Кафе/Рестораны,654.0,Вкусно — и точка,0
2026-02-25,Аптеки,145.0,Бережная аптека,0
2026-02-25,Подарки,1500.0,Polka Chudes Svita Hol,0
2026-02-26,Продукты,384.42,Vobla Beer,0
2026-02-26,Транспорт,46.0,Транспортная карта,0
2026-02-27,Транспорт,46.0,Транспортная карта,0
2026-02-27,Кафе/Рестораны,162.0,St,0
2026-02-27,Кафе/Рестораны,260.0,1804 University & Coffee,0
2026-02-27,Кафе/Рестораны,50.0,1804 University & Coffee,0
2026-02-27,Транспорт,46.0,Транспортная карта,0
2026-03-02,Транспорт,46.0,Транспортная карта,0
2026-03-02,Транспорт,46.0,Транспортная карта,0
2026-03-02,Продукты,311.05,Пятёрочка,0
2026-03-02,Кафе/Рестораны,260.97,Бургер Кинг,0
2026-03-03,Кафе/Рестораны,461.0,Вкусно — и точка,0
2026-03-03,Транспорт,46.0,Транспортная карта,0
2026-03-04,Продукты,499.98,Магнит,0
2026-03-05,Кафе/Рестораны,189.0,Додо Пицца,0
2026-03-05,Такси,221.0,Яндекс Такси,0
2026-03-05,Транспорт,46.0,Транспортная карта,0
2026-03-05,Кафе/Рестораны,90.0,Sofra Kebab,0
2026-03-05,Цифровые товары,200.0,VPN,0
2026-03-05,Транспорт,46.0,Транспортная карта,0
2026-03-05,Продукты,789.7,SPAR,0
2026-03-05,Кафе/Рестораны,435.0,Sofra Kebab,0
2026-03-06,Кафе/Рестораны,92.0,St,0
2026-03-06,Транспорт,46.0,Транспортная карта,0
2026-03-06,Кафе/Рестораны,1308.0,Додо Пицца,0
2026-03-06,Транспорт,46.0,Транспортная карта,0
2026-03-07,Транспорт,46.0,Транспортная карта,1
2026-03-07,Кафе/Рестораны,1379.0,Додо Пицца,1
2026-03-07,Транспорт,46.0,Транспортная карта,1
2026-03-10,Транспорт,46.0,Транспортная карта,0
2026-03-10,Кафе/Рестораны,160.0,St,0
2026-03-10,Продукты,499.98,Магнит,0
2026-03-10,Транспорт,46.0,Транспортная карта,0
2026-03-11,Цифровые товары,100.0,ONLIPAY,0
2026-03-11,Продукты,20.0,Водомат,0
2026-03-11,Продукты,20.0,Водомат,0
2026-03-12,Продукты,20.0,Водомат,0
2026-03-12,Продукты,20.0,Водомат,0
2026-03-12,Продукты,1740.0,Живая Вода,0
2026-03-12,Кафе/Рестораны,75.0,St,0
2026-03-12,Продукты,299.98,Магнит,0
2026-03-12,Такси,515.0,Яндекс Такси,0
2026-03-12,Транспорт,46.0,Транспортная карта,0
2026-03-13,Транспорт,46.0,Транспортная карта,0
2026-03-13,Цифровые товары,100.0,ONLIPAY,0
2026-03-13,Кафе/Рестораны,114.0,St,0
2026-03-13,Кафе/Рестораны,304.98,Бургер Кинг,0
2026-03-14,Продукты,446.96,Магнит,1
2026-03-14,Транспорт,46.0,Транспортная карта,1
2026-03-14,Транспорт,46.0,Транспортная карта,1
2026-03-14,Подарки,500.0,Polka Chudes Gum,1
2026-03-15,Кафе/Рестораны,837.0,Додо Пицца,1
2026-03-15,Спорттовары,3250.0,Спортмастер,1
2026-03-15,Транспорт,46.0,Транспортная карта,1
2026-03-15,Транспорт,46.0,Транспортная карта,1
2026-03-16,Кафе/Рестораны,527.0,Вкусно — и точка,0
2026-03-16,Транспорт,46.0,Транспортная карта,0
2026-03-17,Кафе/Рестораны,678.0,Додо Пицца,0
2026-03-18,Продукты,519.96,Магнит,0
2026-03-19,Транспорт,46.0,Транспортная карта,0
2026-03-19,Продукты,180.0,IP Arakelyan A A,0
2026-03-19,Продукты,345.87,Магнит,0
2026-03-19,Кафе/Рестораны,588.0,Вкусно — и точка,0
2026-03-19,Транспорт,46.0,Транспортная карта,0
2026-03-19,Транспорт,46.0,Транспортная карта,0
2026-03-20,Цветы,264.0,Buket Stolicy,0
2026-03-20,Продукты,259.96,Магнит,0
2026-03-23,Сервис,399.0,Газпром Бонус,0
2026-03-23,Продукты,20.0,Водомат,0
2026-03-24,Транспорт,46.0,Транспортная карта,0
2026-03-24,Мобильная связь,1000.0,МТС +7 917 923-99-01,0
2026-03-24,Транспорт,46.0,Транспортная карта,0
2026-03-25,Продукты,249.99,Магнит,0
2026-03-25,Продукты,180.0,IP Arakelyan A A,0
2026-03-25,Транспорт,46.0,Транспортная карта,0
2026-03-25,Кафе/Рестораны,474.0,Вкусно — и точка,0
2026-03-25,Медицина,750.0,Planeta Optika,0
2026-03-26,Продукты,180.0,IP Arakelyan A A,0
2026-03-26,Транспорт,46.0,Транспортная карта,0
2026-03-26,Кафе/Рестораны,280.0,1804 University & Coffee,0
2026-03-26,Транспорт,46.0,Транспортная карта,0
2026-03-27,Транспорт,46.0,Транспортная карта,0
2026-03-27,Кафе/Рестораны,399.0,Додо Пицца,0
2026-03-27,Кафе/Рестораны,399.0,Додо Пицца,0
2026-03-27,Транспорт,46.0,Транспортная карта,0
2026-03-28,Цифровые товары,723.47,Playerok,1
2026-03-28,Продукты,20.0,Водомат,1
2026-03-28,Транспорт,46.0,Транспортная карта,1
2026-03-28,Кафе/Рестораны,260.0,1804 University & Coffee,1
2026-03-28,Кафе/Рестораны,450.0,Bubble Mania,1
2026-03-28,Кафе/Рестораны,149.0,Вкусно — и точка,1
2026-03-28,Продукты,44.99,Пятёрочка,1
2026-03-28,Продукты,20.0,Водомат,1
2026-03-30,Цифровые товары,109.71,Playerok,0
2026-03-30,Кафе/Рестораны,560.0,Rostic's,0
2026-03-30,Транспорт,46.0,Транспортная карта,0
2026-03-31,Подарки,186.0,OOO Aspekt,0
2026-03-31,Транспорт,46.0,Транспортная карта,0
2026-03-31,Кафе/Рестораны,956.0,Додо Пицца,0
2026-03-31,Транспорт,46.0,Транспортная карта,0
2026-03-31,Продукты,20.0,Водомат,0
2026-03-31,Продукты,20.0,Водомат,0
2026-03-31,Продукты,49.99,Магнит,0
2026-04-01,Транспорт,46.0,Транспортная карта,0
2026-04-01,Аптеки,486.0,Планета Здоровья,0
2026-04-01,Продукты,329.98,Магнит,0
2026-04-01,Транспорт,46.0,Транспортная карта,0
2026-04-01,Транспорт,46.0,Транспортная карта,0
2026-04-02,Кафе/Рестораны,568.0,Додо Пицца,0
2026-04-02,Транспорт,46.0,Транспортная карта,0
2026-04-02,Транспорт,46.0,Транспортная карта,0
2026-04-02,Транспорт,46.0,Транспортная карта,0
2026-04-03,Кафе/Рестораны,399.0,Додо Пицца,0
2026-04-03,Продукты,189.99,Магнит,0
2026-04-03,Продукты,499.98,Магнит,0
2026-04-03,Транспорт,46.0,Транспортная карта,0
2026-04-03,Сервис,425.0,kur*Kur*Likeraptor,0
2026-04-03,Продукты,20.0,Водомат,0
2026-04-03,Продукты,20.0,Водомат,0
2026-04-03,Транспорт,46.0,Транспортная карта,0
2026-04-04,Кафе/Рестораны,320.0,1804 University & Coffee,1
2026-04-04,Транспорт,46.0,Транспортная карта,1
2026-04-04,Продукты,109.99,Пятёрочка,1
2026-04-04,Транспорт,46.0,Транспортная карта,1
2026-04-04,Продукты,180.0,IP Arakelyan A A,1
2026-04-06,Транспорт,46.0,Транспортная карта,0
2026-04-06,Кафе/Рестораны,577.0,Вкусно — и точка,0
2026-04-06,Транспорт,46.0,Транспортная карта,0
2026-04-06,Транспорт,46.0,Транспортная карта,0
2026-04-07,Кафе/Рестораны,286.0,Додо Пицца,0
2026-04-07,Транспорт,46.0,Транспортная карта,0
2026-04-07,Транспорт,46.0,Транспортная карта,0
2026-04-08,Медицина,2500.0,Statsionar Gkb 7,0
2026-04-08,Транспорт,46.0,Транспортная карта,0
2026-04-08,Продукты,139.99,Магнит,0
2026-04-08,Продукты,389.98,Магнит,0
2026-04-08,Транспорт,40.0,Татнефть,0
2026-04-09,Продукты,363.97,Магнит,0
2026-04-09,Транспорт,46.0,Транспортная карта,0
2026-04-09,Транспорт,46.0,Транспортная карта,0
2026-04-10,Транспорт,46.0,Транспортная карта,0
2026-04-10,Наличные,3000.0,Снятие в банкомате Т-Банк,0
2026-04-10,Цифровые товары,223.0,ONLIPAY,0
2026-04-10,Продукты,343.98,Магнит,0
2026-04-10,Транспорт,46.0,Транспортная карта,0
2026-04-11,Кафе/Рестораны,866.0,Rostic's,1
2026-04-11,Транспорт,46.0,Транспортная карта,1
2026-04-11,Транспорт,46.0,Транспортная карта,1
2026-04-11,Продукты,180.0,IP Arakelyan A A,1
2026-04-11,Кафе/Рестораны,685.0,Cinnabon,1
2026-04-12,Кафе/Рестораны,2847.0,Додо Пицца,1
2026-04-13,Кафе/Рестораны,499.97,Бургер Кинг,0
2026-04-13,Транспорт,46.0,Транспортная карта,0
2026-04-13,Аптеки,238.0,Бережная аптека,0
2026-04-14,Транспорт,46.0,Транспортная карта,0
2026-04-14,Кафе/Рестораны,400.0,Kofeinya Bali Buda,0
2026-04-15,Транспорт,46.0,Транспортная карта,0
2026-04-15,Кафе/Рестораны,409.0,Додо Пицца,0
2026-04-15,Транспорт,46.0,Транспортная карта,0
2026-04-16,Транспорт,46.0,Транспортная карта,0
2026-04-16,Транспорт,46.0,Транспортная карта,0
2026-04-16,Транспорт,46.0,Транспортная карта,0
2026-04-16,Кафе/Рестораны,1036.0,Додо Пицца,0
2026-04-17,Продукты,454.97,Пятёрочка,0
2026-04-17,Кафе/Рестораны,90.0,Kopit Kfu 2 Bufet,0
2026-04-17,Транспорт,46.0,Транспортная карта,0
2026-04-17,Транспорт,46.0,Транспортная карта,0
2026-04-17,Продукты,290.0,IP Arakelyan A A,0
2026-04-19,Аптеки,534.0,Бережная аптека,1
2026-04-19,Мобильная связь,1000.0,МТС +7 917 923-99-01,1
2026-04-20,Транспорт,46.0,Транспортная карта,0
2026-04-20,Транспорт,46.0,Транспортная карта,0
2026-04-20,Кафе/Рестораны,164.98,Бургер Кинг,0
2026-04-21,Продукты,396.06,Пятёрочка,0
2026-04-21,Транспорт,46.0,Транспортная карта,0
2026-04-21,Кафе/Рестораны,300.0,1804 University & Coffee,0
2026-04-21,Транспорт,46.0,Транспортная карта,0
2026-04-22,Транспорт,46.0,Транспортная карта,0
2026-04-22,Цифровые товары,3312.0,Playerok,0
2026-04-22,Транспорт,46.0,Транспортная карта,0
2026-04-22,Кафе/Рестораны,578.0,Додо Пицца,0
